ANO,MODALIDADE_TRABALHO,CARGO,PERCENTUAL_NO_CARGO,PERCENTUAL_MODALIDADE
2020,Employed part-time,"Developer, desktop or enterprise applications",3.71%,7.06%
2020,Employed part-time,"Developer, mobile",4.08%,6.26%
2019,"""Other place, such as a coworking space or cafe""","Developer, full-stack",8.97%,16.97%
2019,"""Other place, such as a coworking space or cafe""","Developer, back-end",8.54%,15.23%
2019,"""Other place, such as a coworking space or cafe""","Developer, front-end",9.35%,10.71%
2019,"""Other place, such as a coworking space or cafe""","Developer, mobile",9.93%,6.1%
2019,"""Other place, such as a coworking space or cafe""","Developer, desktop or enterprise applications",7.44%,5.59%
2019,Home,"Developer, full-stack",35.36%,17.58%
2019,Home,"Developer, back-end",33.91%,15.91%
2019,Home,"Developer, front-end",35.85%,10.8%
2019,Home,"Developer, desktop or enterprise applications",35.44%,7.01%
2019,Home,"Developer, mobile",36.45%,5.89%
2019,Office,"Developer, full-stack",55.67%,17.94%
2019,Office,"Developer, back-end",57.55%,17.49%
2019,Office,"Developer, front-end",54.79%,10.69%
2019,Office,"Developer, desktop or enterprise applications",57.11%,7.31%
2019,Office,"Developer, mobile",53.62%,5.62%
